,cases,deaths,countryterritoryCode
286,874.0,3.0,AUT
287,617.0,2.0,AUT
288,436.0,2.0,AUT
289,563.0,1.0,AUT
290,571.0,3.0,AUT
291,601.0,5.0,AUT
292,497.0,3.0,AUT
293,595.0,3.0,AUT
294,402.0,2.0,AUT
295,346.0,3.0,AUT
296,420.0,4.0,AUT
297,543.0,3.0,AUT
298,532.0,2.0,AUT
299,506.0,0.0,AUT
300,547.0,1.0,AUT
301,365.0,2.0,AUT
302,316.0,3.0,AUT
303,325.0,1.0,AUT
304,342.0,5.0,AUT
305,421.0,1.0,AUT
306,419.0,1.0,AUT
307,363.0,1.0,AUT
308,336.0,3.0,AUT
309,265.0,1.0,AUT
310,336.0,1.0,AUT
311,431.0,3.0,AUT
312,352.0,0.0,AUT
313,302.0,4.0,AUT
314,273.0,3.0,AUT
315,245.0,1.0,AUT
316,184.0,0.0,AUT
317,154.0,2.0,AUT
318,178.0,2.0,AUT
319,199.0,2.0,AUT
320,148.0,2.0,AUT
321,127.0,3.0,AUT
322,103.0,0.0,AUT
323,73.0,2.0,AUT
324,68.0,4.0,AUT
325,104.0,6.0,AUT
326,108.0,1.0,AUT
327,80.0,3.0,AUT
328,106.0,5.0,AUT
329,93.0,2.0,AUT
330,73.0,1.0,AUT
331,66.0,3.0,AUT
332,117.0,0.0,AUT
333,108.0,3.0,AUT
334,99.0,6.0,AUT
335,116.0,1.0,AUT
336,102.0,5.0,AUT
337,115.0,5.0,AUT
338,108.0,6.0,AUT
339,149.0,7.0,AUT
340,131.0,3.0,AUT
341,171.0,3.0,AUT
342,180.0,4.0,AUT
343,147.0,4.0,AUT
344,103.0,4.0,AUT
345,207.0,5.0,AUT
346,198.0,8.0,AUT
347,227.0,4.0,AUT
348,287.0,6.0,AUT
349,356.0,4.0,AUT
350,307.0,5.0,AUT
351,311.0,6.0,AUT
352,326.0,5.0,AUT
353,284.0,5.0,AUT
354,351.0,5.0,AUT
355,305.0,10.0,AUT
356,489.0,9.0,AUT
357,360.0,7.0,AUT
358,328.0,9.0,AUT
359,385.0,9.0,AUT
360,424.0,13.0,AUT
361,537.0,11.0,AUT
362,607.0,13.0,AUT
363,485.0,10.0,AUT
364,407.0,7.0,AUT
365,349.0,12.0,AUT
366,509.0,9.0,AUT
367,569.0,14.0,AUT
368,661.0,8.0,AUT
369,610.0,3.0,AUT
370,845.0,15.0,AUT
371,639.0,12.0,AUT
372,521.0,12.0,AUT
373,683.0,15.0,AUT
374,637.0,12.0,AUT
375,852.0,11.0,AUT
376,997.0,26.0,AUT
377,1158.0,13.0,AUT
378,928.0,15.0,AUT
379,745.0,25.0,AUT
380,1060.0,15.0,AUT
381,1156.0,23.0,AUT
382,1385.0,23.0,AUT
383,1395.0,20.0,AUT
384,1726.0,27.0,AUT
385,1448.0,24.0,AUT
386,1109.0,31.0,AUT
387,1540.0,31.0,AUT
388,1667.0,18.0,AUT
389,2119.0,27.0,AUT
390,2157.0,31.0,AUT
391,2272.0,24.0,AUT
392,1917.0,29.0,AUT
393,1592.0,19.0,AUT
394,1898.0,28.0,AUT
395,1972.0,18.0,AUT
396,2484.0,34.0,AUT
397,2618.0,25.0,AUT
398,2530.0,46.0,AUT
399,2093.0,30.0,AUT
400,2015.0,28.0,AUT
401,2033.0,39.0,AUT
402,2366.0,34.0,AUT
403,2356.0,33.0,AUT
404,2737.0,40.0,AUT
405,3179.0,33.0,AUT
406,2242.0,35.0,AUT
407,2057.0,39.0,AUT
408,1967.0,34.0,AUT
409,3459.0,36.0,AUT
410,2509.0,36.0,AUT
411,2871.0,50.0,AUT
412,2850.0,25.0,AUT
413,2009.0,32.0,AUT
414,2333.0,47.0,AUT
415,2819.0,38.0,AUT
416,3308.0,42.0,AUT
417,3094.0,36.0,AUT
418,3393.0,38.0,AUT
419,3136.0,33.0,AUT
420,2797.0,37.0,AUT
421,3232.0,34.0,AUT
422,2646.0,29.0,AUT
423,3304.0,28.0,AUT
424,3216.0,37.0,AUT
425,3448.0,28.0,AUT
426,3539.0,22.0,AUT
427,3023.0,38.0,AUT
428,2438.0,36.0,AUT
429,2691.0,30.0,AUT
430,3650.0,43.0,AUT
431,3221.0,30.0,AUT
432,3520.0,40.0,AUT
433,2873.0,33.0,AUT
434,2759.0,35.0,AUT
435,1908.0,30.0,AUT
436,2525.0,33.0,AUT
437,3034.0,32.0,AUT
438,3056.0,34.0,AUT
439,2871.0,30.0,AUT
440,2410.0,32.0,AUT
441,2523.0,24.0,AUT
442,1948.0,23.0,AUT
443,2245.0,34.0,AUT
444,2763.0,30.0,AUT
445,2349.0,24.0,AUT
446,2400.0,27.0,AUT
447,2452.0,30.0,AUT
448,2192.0,22.0,AUT
449,1401.0,32.0,AUT
450,2224.0,32.0,AUT
451,2496.0,25.0,AUT
452,1889.0,28.0,AUT
453,2445.0,35.0,AUT
454,1966.0,36.0,AUT
455,1890.0,36.0,AUT
456,1226.0,32.0,AUT
457,1656.0,34.0,AUT
458,2091.0,23.0,AUT
459,1709.0,30.0,AUT
460,1901.0,38.0,AUT
461,1657.0,28.0,AUT
462,1500.0,34.0,AUT
463,1168.0,31.0,AUT
464,1171.0,35.0,AUT
465,1268.0,34.0,AUT
466,1562.0,37.0,AUT
467,1669.0,41.0,AUT
468,1469.0,40.0,AUT
469,1233.0,37.0,AUT
470,998.0,40.0,AUT
471,1147.0,39.0,AUT
472,1365.0,36.0,AUT
473,1270.0,38.0,AUT
474,1520.0,36.0,AUT
475,1642.0,58.0,AUT
476,1219.0,51.0,AUT
477,1134.0,58.0,AUT
478,1099.0,45.0,AUT
479,1487.0,56.0,AUT
480,1421.0,50.0,AUT
481,1472.0,51.0,AUT
482,1585.0,58.0,AUT
483,1425.0,52.0,AUT
484,947.0,51.0,AUT
485,1262.0,70.0,AUT
486,1453.0,50.0,AUT
487,1789.0,64.0,AUT
488,1742.0,45.0,AUT
489,1657.0,57.0,AUT
490,1631.0,65.0,AUT
491,1010.0,52.0,AUT
492,1320.0,70.0,AUT
493,1557.0,63.0,AUT
494,1536.0,61.0,AUT
495,1656.0,64.0,AUT
496,2161.0,72.0,AUT
497,1706.0,69.0,AUT
498,1387.0,60.0,AUT
499,1546.0,48.0,AUT
500,2297.0,52.0,AUT
501,2003.0,71.0,AUT
502,2086.0,69.0,AUT
503,2961.0,61.0,AUT
504,2292.0,75.0,AUT
505,1895.0,57.0,AUT
506,1635.0,69.0,AUT
507,1591.0,69.0,AUT
818,5.0,0.0,BEL
819,343.0,7.0,BEL
820,969.0,7.0,BEL
821,2006.0,5.0,BEL
822,2170.0,7.0,BEL
823,2739.0,8.0,BEL
824,3226.0,11.0,BEL
825,4392.0,5.0,BEL
826,736.0,9.0,BEL
827,1476.0,12.0,BEL
828,3207.0,6.0,BEL
829,3682.0,9.0,BEL
830,4185.0,10.0,BEL
831,4893.0,12.0,BEL
832,6581.0,12.0,BEL
833,1174.0,6.0,BEL
834,2235.0,9.0,BEL
835,4469.0,13.0,BEL
836,4954.0,9.0,BEL
837,5197.0,17.0,BEL
838,5498.0,13.0,BEL
839,7219.0,22.0,BEL
840,1215.0,15.0,BEL
841,2405.0,17.0,BEL
842,4364.0,15.0,BEL
843,4856.0,16.0,BEL
844,5350.0,14.0,BEL
845,6013.0,18.0,BEL
846,8451.0,16.0,BEL
847,1607.0,24.0,BEL
848,2903.0,8.0,BEL
849,6068.0,21.0,BEL
850,6877.0,19.0,BEL
851,8071.0,20.0,BEL
852,11620.0,19.0,BEL
853,3056.0,15.0,BEL
854,2372.0,15.0,BEL
855,3815.0,29.0,BEL
856,7414.0,31.0,BEL
857,8187.0,21.0,BEL
858,8774.0,27.0,BEL
859,9156.0,23.0,BEL
860,12849.0,25.0,BEL
861,2555.0,20.0,BEL
862,4588.0,17.0,BEL
863,9055.0,36.0,BEL
864,9953.0,16.0,BEL
865,11017.0,31.0,BEL
866,11004.0,22.0,BEL
867,14659.0,28.0,BEL
868,3095.0,22.0,BEL
869,5164.0,21.0,BEL
870,9149.0,23.0,BEL
871,11023.0,24.0,BEL
872,12052.0,26.0,BEL
873,13073.0,25.0,BEL
874,18029.0,26.0,BEL
875,3683.0,20.0,BEL
876,5896.0,25.0,BEL
877,11175.0,21.0,BEL
878,12513.0,21.0,BEL
879,13622.0,28.0,BEL
880,13594.0,20.0,BEL
881,18115.0,28.0,BEL
882,4120.0,18.0,BEL
883,5725.0,16.0,BEL
884,10126.0,20.0,BEL
885,11255.0,22.0,BEL
886,12346.0,18.0,BEL
887,12453.0,16.0,BEL
888,15915.0,24.0,BEL
889,3999.0,12.0,BEL
890,5110.0,18.0,BEL
891,8607.0,28.0,BEL
892,8668.0,18.0,BEL
893,9400.0,24.0,BEL
894,9118.0,30.0,BEL
895,12333.0,14.0,BEL
896,3529.0,9.0,BEL
897,4173.0,18.0,BEL
898,6924.0,22.0,BEL
899,7158.0,16.0,BEL
900,7574.0,21.0,BEL
901,6889.0,20.0,BEL
902,8331.0,16.0,BEL
903,2353.0,24.0,BEL
904,3379.0,20.0,BEL
905,5830.0,28.0,BEL
906,6688.0,21.0,BEL
907,7628.0,19.0,BEL
908,8000.0,29.0,BEL
909,10954.0,22.0,BEL
910,2946.0,31.0,BEL
911,4503.0,24.0,BEL
912,7729.0,47.0,BEL
913,9292.0,42.0,BEL
